periodo,fonte,empresa,vertical,agrupador,valor,profit_center,tipo_financeiro,moeda,stream,ano
2024-01,Nexus,Omnik,Retail,Deductions and taxes,0.0,,Actual,BRL,Others,2024
2024-01,Nexus,Omnik,Retail,Gross revenue,0.0,,Actual,BRL,Others,2024
2024-01,Nexus,Play Studio,Others,,0.0,,Actual,BRL,Innovation (Play Studio),2024
2024-01,Nexus,SGA,Health,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Health,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Health,Licenses and infrastructure costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Health,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Health,Third-party costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Multisector,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Multisector,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Multisector,Licenses and infrastructure costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Multisector,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Multisector,Third-party costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Consulting expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Depreciation and amortization expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Financial Income,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Financial expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,General and administrative expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Licenses and infrastructure costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Marketing and selling expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Occupancy expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Payroll expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Third-party costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Third-party expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-01,Nexus,SGA,Others,Travel expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,Dojo,Others,Consulting expenses,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Deductions and taxes,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Depreciation and amortization expenses,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Financial Income,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Financial expenses,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,General and administrative expenses,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Gross revenue,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Non-operating income (expenses) net,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,Dojo,Others,Travel expenses,0.0,,Actual,BRL,Data & AI (Dojo),2024
2024-02,Nexus,FC Europe,Others,Consulting expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,General and administrative expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Gross revenue,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Marketing and selling expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Occupancy expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Other operating income (expenses) net,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Payroll expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Third-party costs,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Third-party expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Travel expenses,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,,0.0,,Actual,BRL,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Consulting expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,General and administrative expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Gross revenue,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Marketing and selling expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Occupancy expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Other operating income (expenses) net,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Payroll expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Third-party costs,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Third-party expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,Travel expenses,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Europe,Others,,0.0,,Actual,EUR,FC Europe,2024
2024-02,Nexus,FC Holding,Others,Depreciation and amortization expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FC Holding,Others,Equity equivalence,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FC Holding,Others,Financial Income,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FC Holding,Others,Financial expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FC Holding,Others,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FC Hyper,Others,Deductions and taxes,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,General and administrative expenses,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,Gross revenue,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,Other costs,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,Payroll costs,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC Hyper,Others,Third-party costs,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FC UK,Others,Consulting expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,General and administrative expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Gross revenue,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Marketing and selling expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Occupancy expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Other operating income (expenses) net,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Payroll costs,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Payroll expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Third-party costs,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Third-party expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Travel expenses,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,,0.0,,Actual,BRL,FC UK,2024
2024-02,Nexus,FC UK,Others,Consulting expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,General and administrative expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Gross revenue,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Marketing and selling expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Occupancy expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Other operating income (expenses) net,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Payroll costs,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Payroll expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Third-party costs,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Third-party expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,Travel expenses,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FC UK,Others,,0.0,,Actual,GBP,FC UK,2024
2024-02,Nexus,FCamara,Construction,General and administrative expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Construction,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Construction,Deductions and taxes,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Construction,General and administrative expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Construction,Gross revenue,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Construction,Payroll costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Construction,Third-party costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Construction,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Finance & Insurance,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Finance & Insurance,General and administrative expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Finance & Insurance,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Finance & Insurance,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Finance & Insurance,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Finance & Insurance,General and administrative expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Finance & Insurance,Deductions and taxes,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Finance & Insurance,Gross revenue,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Finance & Insurance,Licenses and infrastructure costs,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Finance & Insurance,Deductions and taxes,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Finance & Insurance,General and administrative expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Finance & Insurance,Gross revenue,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Finance & Insurance,Payroll costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Finance & Insurance,Third-party costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Finance & Insurance,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Finance & Insurance,Travel expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Health,General and administrative expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Health,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Health,Third-party costs,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Health,General and administrative expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Health,Licenses and infrastructure costs,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Health,Consulting expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,General and administrative expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Payroll costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Third-party costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Travel expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Health,Deductions and taxes,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Health,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Health,Gross revenue,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Health,Third-party costs,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Logistics,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Logistics,Deductions and taxes,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Logistics,General and administrative expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Logistics,Gross revenue,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Logistics,Payroll costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Logistics,Third-party costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Logistics,Deductions and taxes,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Logistics,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Logistics,Gross revenue,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Multisector,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Multisector,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Multisector,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Multisector,Deductions and taxes,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Multisector,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Multisector,Gross revenue,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Multisector,Third-party costs,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Multisector,Deductions and taxes,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Multisector,General and administrative expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Multisector,Gross revenue,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Multisector,Deductions and taxes,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Multisector,Gross revenue,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Multisector,Licenses and infrastructure costs,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Multisector,Deductions and taxes,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,General and administrative expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,Gross revenue,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,Marketing and selling expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,Payroll costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,Third-party costs,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,Travel expenses,0.0,,Actual,BRL,NextGen Services,2024
2024-02,Nexus,FCamara,Multisector,General and administrative expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Depreciation and amortization expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Financial Income,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Financial expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Gross revenue,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Licenses and infrastructure costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Payroll costs,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Payroll expenses,0.0,,Actual,BRL,Cloud & Cyber Security (SGA),2024
2024-02,Nexus,FCamara,Others,Commission expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Gross revenue,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Payroll expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Third-party costs,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Third-party expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Travel expenses,0.0,,Actual,BRL,E-commerce,2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Depreciation and amortization costs,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Gross revenue,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Marketing and selling expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Payroll costs,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Payroll expenses,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Third-party costs,0.0,,Actual,BRL,Innovation (Imagine),2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,Gross revenue,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,Licenses and infrastructure costs,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,Payroll expenses,0.0,,Actual,BRL,Licensing Microsoft,2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,Market Place (Omnik),2024
2024-02,Nexus,FCamara,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Market Place (Omnik),2024
2024-02,Nexus,FCamara,Others,Payroll expenses,0.0,,Actual,BRL,Market Place (Omnik),2024
2024-02,Nexus,FCamara,Others,Commission expenses,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FCamara,Others,Gross revenue,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FCamara,Others,Other operating income (expenses) net,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FCamara,Others,Third-party expenses,0.0,,Actual,BRL,Operational Efficiency,2024
2024-02,Nexus,FCamara,Others,Commission expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Consulting expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Deductions and taxes,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Depreciation and amortization costs,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Depreciation and amortization expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Equity equivalence,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Financial Income,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,Financial expenses,0.0,,Actual,BRL,Others,2024
2024-02,Nexus,FCamara,Others,General and administrative expenses,0.0,,Actual,BRL,Others,2024
